Channel,Energy (keV),CTS,Net CR,Error
1,0.2522,0,0,0
2,0.5287,0,0,0
3,0.8052,0,0,0
4,1.0817,0,0,0
5,1.3582,0,0,0
6,1.6347,0,0,0
7,1.9112,0,0,0
8,2.1877,0,0,0
9,2.4642,0,0,0
10,2.7407,0,0,0
11,3.0172,0,0,0
12,3.2937,0,0,0
13,3.5702,0,0,0
14,3.8467,0,0,0
15,4.1232,0,0,0
16,4.3997,0,0,0
17,4.6762,0,0,0
18,4.9527,0,0,0
19,5.2292,0,0,0
20,5.5057,0,0,0
21,5.7822,0,0,0
22,6.0587,0,0,0
23,6.3352,0,0,0
24,6.6117,0,0,0
25,6.8882,0,0,0
26,7.1647,0,0,0
27,7.4412,0,0,0
28,7.7177,0,0,0
29,7.9942,0,0,0
30,8.2707,0,0,0
31,8.5472,0,0,0
32,8.8237,0,0,0
33,9.1002,0,0,0
34,9.3767,0,0,0
35,9.6532,0,0,0
36,9.9297,5,-0.000833333,0.000833333
37,10.2062,138,-0.007916667,0.004131799
38,10.4827,190,-0.001111111,0.004705854
39,10.7592,195,0.011805556,0.004574908
40,11.0357,182,0.005972222,0.004498371
41,11.3122,174,0.005555556,0.004400828
42,11.5887,147,-0.0025,0.004166667
43,11.8652,166,0.00375,0.00432344
44,12.1417,151,-0.000555556,0.004189751
45,12.4182,175,0.009027778,0.004358987
46,12.6947,165,0.003194444,0.004318976
47,12.9712,161,0.008472222,0.004178225
48,13.2477,167,0.005138889,0.004314507
49,13.5242,160,0.005,0.004221857
50,13.8007,178,0.007777778,0.004418326
51,14.0772,158,0.003472222,0.004219572
52,14.3537,149,0,0.004152755
53,14.6302,175,0.01,0.004343471
54,14.9067,181,0.010416667,0.004416143
55,15.1832,167,0.001805556,0.004367829
56,15.4597,177,0.009027778,0.004385459
57,15.7362,144,0.000694444,0.004070653
58,16.0127,169,0.004027778,0.004358987
59,16.2892,164,0.003333333,0.004303315
60,16.5657,165,-0.000694444,0.004381058
61,16.8422,174,0.005,0.004409586
62,17.1187,164,-0.001944444,0.004387658
63,17.3952,194,0.009444444,0.00459804
64,17.6717,197,0.01,0.004627314
65,17.9482,190,0.007361111,0.004579123
66,18.2247,198,0.004027778,0.004728346
67,18.5012,196,-0.001805556,0.00478915
68,18.7777,201,0.000694444,0.004813257
69,19.0542,195,0.002777778,0.004709951
70,19.3307,213,0.010833333,0.004811252
71,19.6072,179,-0.003611111,0.004606423
72,19.8837,178,0.000972222,0.004524027
73,20.1602,150,0.005555556,0.004073022
74,20.4367,127,-0.003333333,0.003893846
75,20.7132,153,0.00625,0.004103691
76,20.9897,145,0.007361111,0.003969891
77,21.2662,145,0.004583333,0.004018188
78,21.5427,155,0.0025,0.004194352
79,21.8192,178,0.011666667,0.004356774
80,22.0957,159,-0.003333333,0.004343471
81,22.3722,193,0.007361111,0.004616881
82,22.6487,187,0.004166667,0.004589642
83,22.9252,155,-0.003888889,0.00429883
84,23.2017,134,0.000972222,0.003920998
85,23.4782,140,0.010694444,0.003836452
86,23.7547,105,0.005416667,0.003376457
87,24.0312,81,0.003055556,0.002991758
88,24.3077,79,-0.000694444,0.003039732
89,24.5842,86,0.000138889,0.00315189
90,24.8607,96,0.009444444,0.003130397
91,25.1372,83,0.00375,0.003014241
92,25.4137,82,0.002777778,0.003017439
93,25.6902,98,0.005555556,0.003251306
94,25.9667,86,0.007083333,0.00299498
95,26.2432,83,0.002222222,0.003049236
96,26.5197,79,0.000138889,0.003020634
97,26.7962,87,0.006527778,0.003027013
98,27.0727,76,0.001944444,0.002919972
99,27.3492,80,0.003888889,0.002952818
100,27.6257,97,0.005833333,0.003227486
101,27.9022,74,0.001527778,0.002890091
102,28.1787,93,0.004722222,0.003179312
103,28.4552,89,0.006666667,0.003061862
104,28.7317,80,0.001944444,0.002998199
105,29.0082,111,0.009861111,0.003387864
106,29.2847,83,0.004444444,0.002998199
107,29.5612,83,0.004027778,0.003007834
108,29.8377,73,0.003888889,0.002812286
109,30.1142,73,0.003611111,0.002819137
110,30.3907,74,0.003611111,0.00283959
111,30.6672,67,0.001666667,0.002742836
112,30.9437,62,-0.002222222,0.002735794
113,31.2202,72,0.000972222,0.002863268
114,31.4967,95,0.009583333,0.003108754
115,31.7732,85,0.005972222,0.003001414
116,32.0497,80,0.004583333,0.002936441
117,32.3262,61,0.000555556,0.002642541
118,32.6027,78,0.001666667,0.002965855
119,32.8792,76,0.003055556,0.002893426
120,33.1557,83,0.004166667,0.003004626
121,33.4322,81,0.008055556,0.002873356
122,33.7087,73,0.005,0.002784714
123,33.9852,71,0.003472222,0.002781248
124,34.2617,65,-0.000138889,0.00274635
125,34.5382,73,0.003472222,0.002822556
126,34.8147,75,0.002361111,0.002890091
127,35.0912,76,0.001944444,0.002919972
128,35.3677,84,0.005833333,0.002985304
129,35.6442,88,0.007222222,0.003030198
130,35.9207,72,-0.000138889,0.002890091
131,36.1972,74,0.004166667,0.002825971
132,36.4737,61,-0.001527778,0.002696734
133,36.7502,76,0.003611111,0.002880061
134,37.0267,74,0.005555556,0.002791632
135,37.3032,63,0.000694444,0.00268239
136,37.5797,85,0.009305556,0.002923273
137,37.8562,74,0.005138889,0.002801978
138,38.1327,74,0.003611111,0.00283959
139,38.4092,61,0.000416667,0.002646189
140,38.6857,75,0.003055556,0.002873356
141,38.9622,70,0.003472222,0.002760362
142,39.2387,64,0.000138889,0.002718109
143,39.5152,72,0.006527778,0.002725197
144,39.7917,82,0.007777778,0.002900085
145,40.0682,68,-0.000138889,0.002808854
146,40.3447,67,0.003055556,0.002707443
147,40.6212,72,0.005833333,0.002742836
148,40.8977,93,0.011666667,0.003023825
149,41.1742,63,0.002638889,0.002631569
150,41.4507,62,0.004027778,0.002572258
151,41.7272,75,0.003611111,0.002859897
152,42.0037,80,0.008333333,0.002846375
153,42.2802,53,0,0.002476744
154,42.5567,76,0.006944444,0.002798534
155,42.8332,66,0.006111111,0.002605787
156,43.1097,70,0.004583333,0.002732266
157,43.3862,69,0.001944444,0.002777778
158,43.6627,57,-0.000833333,0.002590939
159,43.9392,76,0.006805556,0.002801978
160,44.2157,61,0.000694444,0.002638889
161,44.4922,63,0.002916667,0.002624228
162,44.7687,69,0.005694444,0.00268239
163,45.0452,67,0.004444444,0.002671581
164,45.3217,71,0.004305556,0.002760362
165,45.5982,70,0.003472222,0.002760362
166,45.8747,65,0.003333333,0.002657101
167,46.1512,77,0.004166667,0.002886751
168,46.4277,61,0.004166667,0.002545875
169,46.7042,61,0.001527778,0.002616867
170,46.9807,75,0.004583333,0.002836191
171,47.2572,55,0.001805556,0.002472846
172,47.5337,57,-0.001944444,0.00262055
173,47.8102,67,0.003194444,0.002703878
174,48.0867,53,0.001666667,0.002429563
175,48.3632,65,0.003472222,0.002653468
176,48.6397,65,0.004583333,0.002624228
177,48.9162,65,0.001944444,0.002693155
178,49.1927,51,0.001111111,0.002397594
179,49.4692,50,-0.002638889,0.002480635
180,49.7457,58,-0.000138889,0.002594659
181,50.0222,55,0.002222222,0.002461117
182,50.2987,65,0.000138889,0.002739317
183,50.5752,62,0.004166667,0.002568506
184,50.8517,65,0.003472222,0.002653468
185,51.1282,87,0.008888889,0.002972352
186,51.4047,60,0.003194444,0.002549661
