Channel,Energy (keV),Energy (keV),Net CR,Error
1,0.2522,0.2522,0,0
2,0.5287,0.5287,0,0
3,0.8052,0.8052,0,0
4,1.0817,1.0817,0,0
5,1.3582,1.3582,0,0
6,1.6347,1.6347,0,0
7,1.9112,1.9112,0,0
8,2.1877,2.1877,0,0
9,2.4642,2.4642,0,0
10,2.7407,2.7407,0,0
11,3.0172,3.0172,0,0
12,3.2937,3.2937,0,0
13,3.5702,3.5702,0,0
14,3.8467,3.8467,0,0
15,4.1232,4.1232,0,0
16,4.3997,4.3997,0,0
17,4.6762,4.6762,0,0
18,4.9527,4.9527,0,0
19,5.2292,5.2292,0,0
20,5.5057,5.5057,0,0
21,5.7822,5.7822,0,0
22,6.0587,6.0587,0,0
23,6.3352,6.3352,0,0
24,6.6117,6.6117,0,0
25,6.8882,6.8882,0,0
26,7.1647,7.1647,0,0
27,7.4412,7.4412,0,0
28,7.7177,7.7177,0,0
29,7.9942,7.9942,0,0
30,8.2707,8.2707,0,0
31,8.5472,8.5472,0,0
32,8.8237,8.8237,0,0
33,9.1002,9.1002,0,0
34,9.3767,9.3767,0,0
35,9.6532,9.6532,0,0
36,9.9297,9.9297,0.000555556,0.001039349
37,10.2062,10.2062,-0.004305556,0.004251452
38,10.4827,10.4827,0.000555556,0.00475479
39,10.7592,10.7592,0.007916667,0.004455282
40,11.0357,11.0357,0.009027778,0.004591743
41,11.3122,11.3122,-0.003333333,0.004110736
42,11.5887,11.5887,-0.002222222,0.004175916
43,11.8652,11.8652,0.00125,0.004242368
44,12.1417,12.1417,-0.001944444,0.004143454
45,12.4182,12.4182,0.007638889,0.004314507
46,12.6947,12.6947,-0.002638889,0.004127127
47,12.9712,12.9712,0.014583333,0.004376653
48,13.2477,13.2477,0.001805556,0.004205834
49,13.5242,13.5242,0.006111111,0.004258253
50,13.8007,13.8007,-0.005555556,0.003977173
51,14.0772,14.0772,0.00375,0.004228705
52,14.3537,14.3537,-0.002777778,0.004058789
53,14.6302,14.6302,0.012222222,0.004413958
54,14.9067,14.9067,0.007916667,0.004336804
55,15.1832,15.1832,-0.000138889,0.004305556
56,15.4597,15.4597,0.002083333,0.004159716
57,15.7362,15.7362,0.003194444,0.004155076
58,16.0127,16.0127,0.000972222,0.004260517
59,16.2892,16.2892,0.000555556,0.004212709
60,16.5657,16.5657,0.003472222,0.004511217
61,16.8422,16.8422,0.006111111,0.004444444
62,17.1187,17.1187,0.003333333,0.004551658
63,17.3952,17.3952,0.005555556,0.004479032
64,17.6717,17.6717,0.001666667,0.004370037
65,17.9482,17.9482,0.008472222,0.004612701
66,18.2247,18.2247,-0.003472222,0.004502657
67,18.5012,18.5012,-0.001805556,0.00478915
68,18.7777,18.7777,0.004027778,0.004908499
69,19.0542,19.0542,0,0.004627314
70,19.3307,19.3307,0.003888889,0.004606423
71,19.6072,19.6072,0.000833333,0.004738534
72,19.8837,19.8837,-0.004027778,0.004367829
73,20.1602,20.1602,0.004166667,0.004025382
74,20.4367,20.4367,0.004166667,0.004152755
75,20.7132,20.7132,0.013194444,0.004332354
76,20.9897,20.9897,0.004861111,0.003881441
77,21.2662,21.2662,0.004027778,0.003998939
78,21.5427,21.5427,0.001944444,0.004175916
79,21.8192,21.8192,0.009166667,0.004276335
80,22.0957,22.0957,0.001111111,0.004483337
81,22.3722,22.3722,0.001805556,0.004446614
82,22.6487,22.6487,0.000555556,0.004479032
83,22.9252,22.9252,-0.006944444,0.004198949
84,23.2017,23.2017,-0.005416667,0.003687755
85,23.4782,23.4782,-0.005694444,0.0031884
86,23.7547,23.7547,0.007083333,0.003444332
87,24.0312,24.0312,0.007777778,0.00320349
88,24.3077,24.3077,0.00375,0.003236439
89,24.5842,24.5842,-0.000694444,0.003114953
90,24.8607,24.8607,0.003611111,0.002859897
91,25.1372,25.1372,0.002361111,0.00294955
92,25.4137,25.4137,0.002222222,0.002991758
93,25.6902,25.6902,0.003333333,0.003154949
94,25.9667,25.9667,-0.000972222,0.002594659
95,26.2432,26.2432,-0.000277778,0.002933154
96,26.5197,26.5197,0.000138889,0.003020634
97,26.7962,26.7962,0.003472222,0.002883408
98,27.0727,27.0727,0.0025,0.002946278
99,27.3492,27.3492,0.003611111,0.002939724
100,27.6257,27.6257,0.001111111,0.003017439
101,27.9022,27.9022,0.004583333,0.003033379
102,28.1787,28.1787,0.005277778,0.00320349
103,28.4552,28.4552,0.003611111,0.002919972
104,28.7317,28.7317,0.005,0.003136553
105,29.0082,29.0082,-0.000416667,0.002936441
106,29.2847,29.2847,0.003611111,0.002959344
107,29.5612,29.5612,0.002361111,0.002929864
108,29.8377,29.8377,0.004444444,0.00283959
109,30.1142,30.1142,0.003333333,0.002805418
110,30.3907,30.3907,0.000555556,0.002685983
111,30.6672,30.6672,0.002777778,0.002798534
112,30.9437,30.9437,0.001388889,0.002913358
113,31.2202,31.2202,0.002916667,0.002956083
114,31.4967,31.4967,0.003194444,0.002808854
115,31.7732,31.7732,0.002638889,0.002842985
116,32.0497,32.0497,0.001805556,0.002801978
117,32.3262,32.3262,0.006111111,0.002919972
118,32.6027,32.6027,0.001944444,0.002978835
119,32.8792,32.8792,-0.0025,0.002613179
120,33.1557,33.1557,0.0075,0.003154949
121,33.4322,33.4322,0.003333333,0.002635231
122,33.7087,33.7087,0.0025,0.002657101
123,33.9852,33.9852,0.00375,0.002795085
124,34.2617,34.2617,0.000416667,0.002774303
125,34.5382,34.5382,0.009583333,0.003108754
126,34.8147,34.8147,0.000138889,0.002781248
127,35.0912,35.0912,-0.001666667,0.002742836
128,35.3677,35.3677,0.001111111,0.002756866
129,35.6442,35.6442,0.006388889,0.002991758
130,35.9207,35.9207,0.004305556,0.003096319
131,36.1972,36.1972,0.008611111,0.003036557
132,36.4737,36.4737,-0.000138889,0.002767342
133,36.7502,36.7502,-0.0025,0.002568506
134,37.0267,37.0267,0.004166667,0.002721655
135,37.3032,37.3032,0.004583333,0.00287671
136,37.5797,37.5797,0.005694444,0.00274635
137,37.8562,37.8562,0.002083333,0.002646189
138,38.1327,38.1327,0.001388889,0.002728734
139,38.4092,38.4092,0.005416667,0.002896757
140,38.6857,38.6857,0.001388889,0.002791632
141,38.9622,38.9622,0.000694444,0.002616867
142,39.2387,39.2387,0.00625,0.003014241
143,39.5152,39.5152,0.004583333,0.002624228
144,39.7917,39.7917,0.004722222,0.00274986
145,40.0682,40.0682,0.000138889,0.002822556
146,40.3447,40.3447,0.003055556,0.002707443
147,40.6212,40.6212,0.003888889,0.002642541
148,40.8977,40.8977,0.001388889,0.002507704
149,41.1742,41.1742,-0.000694444,0.002449332
150,41.4507,41.4507,0.004583333,0.002602082
151,41.7272,41.7272,0.000833333,0.002721655
152,42.0037,42.0037,0.007777778,0.002819137
153,42.2802,42.2802,0.003888889,0.002685983
154,42.5567,42.5567,0.003333333,0.002613179
155,42.8332,42.8332,0.006388889,0.00262055
156,43.1097,43.1097,0.005416667,0.002774303
157,43.3862,43.3862,0,0.002678792
158,43.6627,43.6627,0.006388889,0.002952818
159,43.9392,43.9392,0.004027778,0.002660728
160,44.2157,44.2157,0.000694444,0.002638889
161,44.4922,44.4922,0.002083333,0.002579747
162,44.7687,44.7687,0.004305556,0.002609485
163,45.0452,45.0452,0.001944444,0.002538287
164,45.3217,45.3217,-0.000416667,0.002511547
165,45.5982,45.5982,0.00125,0.002646189
166,45.8747,45.8747,0.005277778,0.002756866
167,46.1512,46.1512,-0.001944444,0.002576005
168,46.4277,46.4277,0.002777778,0.002468943
169,46.7042,46.7042,0.000972222,0.002587213
170,46.9807,46.9807,0.00125,0.002667968
171,47.2572,47.2572,0.004027778,0.002594659
172,47.5337,47.5337,-0.003611111,0.002530676
173,47.8102,47.8102,0.004027778,0.00274635
174,48.0867,48.0867,0.007222222,0.002728734
175,48.3632,48.3632,0.004583333,0.002711003
176,48.6397,48.6397,0.000138889,0.002377395
