Channel,Energy (keV),CTS,CR,Error
1,0.2522,0,0,0
2,0.5287,0,0,0
3,0.8052,0,0,0
4,1.0817,0,0,0
5,1.3582,0,0,0
6,1.6347,0,0,0
7,1.9112,0,0,0
8,2.1877,0,0,0
9,2.4642,0,0,0
10,2.7407,0,0,0
11,3.0172,0,0,0
12,3.2937,0,0,0
13,3.5702,0,0,0
14,3.8467,0,0,0
15,4.1232,0,0,0
16,4.3997,0,0,0
17,4.6762,0,0,0
18,4.9527,0,0,0
19,5.2292,0,0,0
20,5.5057,0,0,0
21,5.7822,0,0,0
22,6.0587,0,0,0
23,6.3352,0,0,0
24,6.6117,0,0,0
25,6.8882,0,0,0
26,7.1647,0,0,0
27,7.4412,0,0,0
28,7.7177,0,0,0
29,7.9942,0,0,0
30,8.2707,0,0,0
31,8.5472,0,0,0
32,8.8237,0,0,0
33,9.1002,0,0,0
34,9.3767,0,0,0
35,9.6532,0,0,0
36,9.9297,16,0.002222222,0.000555556
37,10.2062,333,0.04625,0.002534484
38,10.4827,388,0.053888889,0.002735794
39,10.7592,305,0.042361111,0.00242559
40,11.0357,321,0.044583333,0.002488399
41,11.3122,308,0.042777778,0.00243749
42,11.5887,312,0.043333333,0.002453267
43,11.8652,305,0.042361111,0.00242559
44,12.1417,306,0.0425,0.002429563
45,12.4182,285,0.039583333,0.002344714
46,12.6947,307,0.042638889,0.00243353
47,12.9712,261,0.03625,0.002243819
48,13.2477,297,0.04125,0.002393568
49,13.5242,284,0.039444444,0.002340597
50,13.8007,300,0.041666667,0.002405626
51,14.0772,291,0.040416667,0.002369267
52,14.3537,298,0.041388889,0.002397594
53,14.6302,278,0.038611111,0.002315741
54,14.9067,287,0.039861111,0.002352927
55,15.1832,321,0.044583333,0.002488399
56,15.4597,289,0.040138889,0.002361111
57,15.7362,283,0.039305556,0.002336473
58,16.0127,309,0.042916667,0.002441444
59,16.2892,304,0.042222222,0.002421611
60,16.5657,335,0.046527778,0.002542084
61,16.8422,312,0.043333333,0.002453267
62,17.1187,342,0.0475,0.002568506
63,17.3952,320,0.044444444,0.00248452
64,17.6717,322,0.044722222,0.002492272
65,17.9482,327,0.045416667,0.002511547
66,18.2247,367,0.050972222,0.002660728
67,18.5012,405,0.05625,0.002795085
68,18.7777,397,0.055138889,0.002767342
69,19.0542,370,0.051388889,0.002671581
70,19.3307,348,0.048333333,0.002590939
71,19.6072,384,0.053333333,0.002721655
72,19.8837,349,0.048472222,0.002594659
73,20.1602,260,0.036111111,0.002239516
74,20.4367,278,0.038611111,0.002315741
75,20.7132,261,0.03625,0.002243819
76,20.9897,237,0.032916667,0.002138167
77,21.2662,257,0.035694444,0.002226558
78,21.5427,292,0.040555556,0.002373334
79,21.8192,272,0.037777778,0.002290614
80,22.0957,342,0.0475,0.002568506
81,22.3722,333,0.04625,0.002534484
82,22.6487,344,0.047777778,0.002576005
83,22.9252,338,0.046944444,0.002553441
84,23.2017,261,0.03625,0.002243819
85,23.4782,203,0.028194444,0.001978862
86,23.7547,171,0.02375,0.001816208
87,24.0312,140,0.019444444,0.001643355
88,24.3077,163,0.022638889,0.001773215
89,24.5842,171,0.02375,0.001816208
90,24.8607,124,0.017222222,0.001546601
91,25.1372,139,0.019305556,0.001637476
92,25.4137,144,0.02,0.001666667
93,25.6902,156,0.021666667,0.001734722
94,25.9667,121,0.016805556,0.001527778
95,26.2432,150,0.020833333,0.001701035
96,26.5197,157,0.021805556,0.001740273
97,26.7962,127,0.017638889,0.001565198
98,27.0727,138,0.019166667,0.001631575
99,27.3492,132,0.018333333,0.001595712
100,27.6257,152,0.021111111,0.001712337
101,27.9022,137,0.019027778,0.001625653
102,28.1787,152,0.021111111,0.001712337
103,28.4552,130,0.018055556,0.001583577
104,28.7317,146,0.020277778,0.001678201
105,29.0082,151,0.020972222,0.001706695
106,29.2847,134,0.018611111,0.001607755
107,29.5612,137,0.019027778,0.001625653
108,29.8377,118,0.016388889,0.00150872
109,30.1142,120,0.016666667,0.001521452
110,30.3907,122,0.016944444,0.001534078
111,30.6672,122,0.016944444,0.001534078
112,30.9437,140,0.019444444,0.001643355
113,31.2202,137,0.019027778,0.001625653
114,31.4967,121,0.016805556,0.001527778
115,31.7732,127,0.017638889,0.001565198
116,32.0497,127,0.017638889,0.001565198
117,32.3262,118,0.016388889,0.00150872
118,32.6027,144,0.02,0.001666667
119,32.8792,130,0.018055556,0.001583577
120,33.1557,136,0.018888889,0.001619709
121,33.4322,104,0.014444444,0.001416394
122,33.7087,110,0.015277778,0.001456679
123,33.9852,117,0.01625,0.001502313
124,34.2617,131,0.018194444,0.001589656
125,34.5382,121,0.016805556,0.001527778
126,34.8147,133,0.018472222,0.001601745
127,35.0912,138,0.019166667,0.001631575
128,35.3677,126,0.0175,0.001559024
129,35.6442,124,0.017222222,0.001546601
130,35.9207,145,0.020138889,0.001672444
131,36.1972,118,0.016388889,0.00150872
132,36.4737,133,0.018472222,0.001601745
133,36.7502,126,0.0175,0.001559024
134,37.0267,108,0.015,0.001443376
135,37.3032,121,0.016805556,0.001527778
136,37.5797,103,0.014305556,0.001409568
137,37.8562,111,0.015416667,0.001463285
138,38.1327,122,0.016944444,0.001534078
139,38.4092,119,0.016527778,0.001515099
140,38.6857,128,0.017777778,0.001571348
141,38.9622,115,0.015972222,0.001489417
142,39.2387,127,0.017638889,0.001565198
143,39.5152,97,0.013472222,0.001367897
144,39.7917,108,0.015,0.001443376
145,40.0682,137,0.019027778,0.001625653
146,40.3447,112,0.015555556,0.001469862
147,40.6212,102,0.014166667,0.001402709
148,40.8977,102,0.014166667,0.001402709
149,41.1742,107,0.014861111,0.001436678
150,41.4507,95,0.013194444,0.001353721
151,41.7272,124,0.017222222,0.001546601
152,42.0037,100,0.013888889,0.001388889
153,42.2802,106,0.014722222,0.001429949
154,42.5567,102,0.014166667,0.001402709
155,42.8332,88,0.012222222,0.001302893
156,43.1097,107,0.014861111,0.001436678
157,43.3862,124,0.017222222,0.001546601
158,43.6627,120,0.016666667,0.001521452
159,43.9392,103,0.014305556,0.001409568
160,44.2157,117,0.01625,0.001502313
161,44.4922,105,0.014583333,0.001423188
162,44.7687,97,0.013472222,0.001367897
163,45.0452,102,0.014166667,0.001402709
164,45.3217,111,0.015416667,0.001463285
165,45.5982,115,0.015972222,0.001489417
166,45.8747,106,0.014722222,0.001429949
167,46.1512,124,0.017222222,0.001546601
168,46.4277,92,0.012777778,0.001332175
169,46.7042,111,0.015416667,0.001463285
170,46.9807,117,0.01625,0.001502313
171,47.2572,97,0.013472222,0.001367897
172,47.5337,128,0.017777778,0.001571348
173,47.8102,111,0.015416667,0.001463285
174,48.0867,94,0.013055556,0.001346578
175,48.3632,105,0.014583333,0.001423188
176,48.6397,97,0.013472222,0.001367897
177,48.9162,116,0.016111111,0.001495879
178,49.1927,94,0.013055556,0.001346578
179,49.4692,119,0.016527778,0.001515099
180,49.7457,117,0.01625,0.001502313
181,50.0222,94,0.013055556,0.001346578
182,50.2987,129,0.017916667,0.001577475
183,50.5752,94,0.013055556,0.001346578
184,50.8517,105,0.014583333,0.001423188
185,51.1282,110,0.015277778,0.001456679
186,51.4047,97,0.013472222,0.001367897
187,51.6812,91,0.012638889,0.001324916
