Channel,Energy (keV),CTS,Net CR,Error
1,0.2522,0,0,0
2,0.5287,0,0,0
3,0.8052,0,0,0
4,1.0817,0,0,0
5,1.3582,0,0,0
6,1.6347,0,0,0
7,1.9112,0,0,0
8,2.1877,0,0,0
9,2.4642,0,0,0
10,2.7407,0,0,0
11,3.0172,0,0,0
12,3.2937,0,0,0
13,3.5702,0,0,0
14,3.8467,0,0,0
15,4.1232,0,0,0
16,4.3997,0,0,0
17,4.6762,0,0,0
18,4.9527,0,0,0
19,5.2292,0,0,0
20,5.5057,0,0,0
21,5.7822,0,0,0
22,6.0587,0,0,0
23,6.3352,0,0,0
24,6.6117,0,0,0
25,6.8882,0,0,0
26,7.1647,0,0,0
27,7.4412,0,0,0
28,7.7177,0,0,0
29,7.9942,0,0,0
30,8.2707,0,0,0
31,8.5472,0,0,0
32,8.8237,0,0,0
33,9.1002,0,0,0
34,9.3767,0,0,0
35,9.6532,18,0.03,0.007071068
36,9.9297,275,0.456111111,0.027644123
37,10.2062,403,0.625416667,0.033553957
38,10.4827,355,0.537777778,0.031521353
39,10.7592,350,0.540972222,0.031274682
40,11.0357,360,0.555416667,0.031720532
41,11.3122,409,0.638888889,0.033794267
42,11.5887,342,0.526666667,0.030919549
43,11.8652,342,0.527638889,0.030917365
44,12.1417,322,0.494166667,0.030005786
45,12.4182,342,0.530416667,0.030911126
46,12.6947,337,0.519027778,0.030692559
47,12.9712,350,0.547083333,0.031261109
48,13.2477,328,0.505416667,0.03027937
49,13.5242,333,0.515555556,0.030503744
50,13.8007,344,0.531666667,0.031005525
51,14.0772,317,0.487916667,0.029768591
52,14.3537,278,0.421944444,0.027892126
53,14.6302,318,0.491388889,0.029811004
54,14.9067,328,0.506805556,0.030276185
55,15.1832,324,0.495416667,0.030103025
56,15.4597,306,0.469861111,0.029250211
57,15.7362,331,0.512361111,0.030412227
58,16.0127,343,0.52875,0.030963502
59,16.2892,314,0.481111111,0.029632523
60,16.5657,351,0.538472222,0.031328297
61,16.8422,296,0.45,0.028779172
62,17.1187,338,0.515833333,0.030748758
63,17.3952,296,0.448888889,0.028781853
64,17.6717,279,0.420277778,0.02795016
65,17.9482,311,0.472916667,0.029499098
66,18.2247,312,0.469027778,0.029559197
67,18.5012,269,0.392083333,0.027477895
68,18.7777,306,0.454861111,0.029285802
69,19.0542,316,0.475277778,0.029747523
70,19.3307,296,0.445,0.028791235
71,19.6072,303,0.451666667,0.029138876
72,19.8837,279,0.416527778,0.027959475
73,20.1602,303,0.468888889,0.029097802
74,20.4367,280,0.428055556,0.027984646
75,20.7132,280,0.430416667,0.027978787
76,20.9897,273,0.422083333,0.027620737
77,21.2662,265,0.405972222,0.027222577
78,21.5427,303,0.464444444,0.029108407
79,21.8192,294,0.452222222,0.028669035
80,22.0957,294,0.4425,0.028692576
81,22.3722,286,0.430416667,0.028299612
82,22.6487,266,0.395555556,0.027304298
83,22.9252,273,0.408055556,0.027655983
84,23.2017,257,0.392083333,0.026812751
85,23.4782,294,0.461805556,0.028645812
86,23.7547,283,0.447916667,0.028096436
87,24.0312,260,0.413888889,0.026924391
88,24.3077,262,0.414027778,0.02703557
89,24.5842,249,0.39125,0.026362194
90,24.8607,260,0.416111111,0.026918659
91,25.1372,257,0.409027778,0.026768829
92,25.4137,248,0.393333333,0.026299556
93,25.6902,260,0.411666667,0.026930122
94,25.9667,277,0.444861111,0.027780903
95,26.2432,227,0.3575,0.025168414
96,26.5197,250,0.394861111,0.026409714
97,26.7962,252,0.402361111,0.02650377
98,27.0727,237,0.375833333,0.02570983
99,27.3492,235,0.373333333,0.025599298
100,27.6257,235,0.370555556,0.025606833
101,27.9022,254,0.404305556,0.026611995
102,28.1787,248,0.392222222,0.02630249
103,28.4552,256,0.408611111,0.026713645
104,28.7317,249,0.394722222,0.026353046
105,29.0082,233,0.367361111,0.025497746
106,29.2847,224,0.354722222,0.024996142
107,29.5612,233,0.369305556,0.025492449
108,29.8377,258,0.413611111,0.026813111
109,30.1142,242,0.386666667,0.025971851
110,30.3907,257,0.411388889,0.026762703
111,30.6672,225,0.358055556,0.025047024
112,30.9437,259,0.412222222,0.026872757
113,31.2202,232,0.367638889,0.025437909
114,31.4967,239,0.381527778,0.025811296
115,31.7732,228,0.362361111,0.025214741
116,32.0497,247,0.394027778,0.026240445
117,32.3262,217,0.345277778,0.024597846
118,32.6027,254,0.403333333,0.026614532
119,32.8792,230,0.365277778,0.025325809
120,33.1557,230,0.364444444,0.025328094
121,33.4322,250,0.402222222,0.026390351
122,33.7087,205,0.326388889,0.023907454
123,33.9852,203,0.322083333,0.023793819
124,34.2617,225,0.356805556,0.025050489
125,34.5382,222,0.353194444,0.024879726
126,34.8147,244,0.388194444,0.026083392
127,35.0912,244,0.3875,0.026085241
128,35.3677,247,0.394166667,0.026240077
129,35.6442,226,0.359444444,0.025103182
130,35.9207,215,0.338194444,0.024495291
131,36.1972,239,0.381944444,0.025810175
132,36.4737,238,0.378194444,0.025761923
133,36.7502,240,0.3825,0.025866914
134,37.0267,232,0.371666667,0.025426911
135,37.3032,214,0.339861111,0.024429051
136,37.5797,238,0.382361111,0.025750689
137,37.8562,220,0.35125,0.024763932
138,38.1327,220,0.349722222,0.024768216
139,38.4092,214,0.340138889,0.024428262
140,38.6857,228,0.362222222,0.025215124
141,38.9622,219,0.349027778,0.024709344
142,39.2387,234,0.372361111,0.025543098
143,39.5152,228,0.366527778,0.025203263
144,39.7917,245,0.393333333,0.026127359
145,40.0682,227,0.359305556,0.025163432
146,40.3447,219,0.349444444,0.024708173
147,40.6212,242,0.389166667,0.025965165
148,40.8977,227,0.364166667,0.025150013
149,41.1742,194,0.308472222,0.023258395
150,41.4507,243,0.391805556,0.026016006
151,41.7272,218,0.346111111,0.024656592
152,42.0037,199,0.317777778,0.023552214
153,42.2802,242,0.388611111,0.025966651
154,42.5567,215,0.344166667,0.024478354
155,42.8332,226,0.364444444,0.025089347
156,43.1097,217,0.346805556,0.024593532
157,43.3862,234,0.372777778,0.025541965
158,43.6627,228,0.363333333,0.025212064
159,43.9392,188,0.299027778,0.022895613
160,44.2157,220,0.350416667,0.024766269
161,44.4922,220,0.352083333,0.024761595
162,44.7687,236,0.379861111,0.025640333
163,45.0452,256,0.4125,0.026703534
164,45.3217,214,0.34125,0.024425103
165,45.5982,211,0.335694444,0.024255504
166,45.8747,215,0.343611111,0.02447993
167,46.1512,219,0.347777778,0.024712857
168,46.4277,212,0.340555556,0.024303571
169,46.7042,207,0.329583333,0.024023763
170,46.9807,194,0.307083333,0.023262541
171,47.2572,198,0.316527778,0.023491938
172,47.5337,194,0.305555556,0.023267102
173,47.8102,214,0.34125,0.024425103
174,48.0867,207,0.331944444,0.024016937
175,48.3632,193,0.307083333,0.023197771
176,48.6397,237,0.381527778,0.025694444
177,48.9162,213,0.338888889,0.024370152
178,49.1927,236,0.380277778,0.025639205
179,49.4692,190,0.300138889,0.023023321
180,49.7457,190,0.300416667,0.023022483
181,50.0222,246,0.396944444,0.026175305
182,50.2987,207,0.327083333,0.024030989
183,50.5752,171,0.271944444,0.021836054
184,50.8517,188,0.29875,0.022896456
185,51.1282,226,0.361388889,0.025097803
186,51.4047,223,0.358194444,0.024926203
