Channel,Energy (keV),CTS,Net CR,
1,0.2522,0,0,0
2,0.5287,0,0,0
3,0.8052,0,0,0
4,1.0817,0,0,0
5,1.3582,0,0,0
6,1.6347,0,0,0
7,1.9112,0,0,0
8,2.1877,0,0,0
9,2.4642,0,0,0
10,2.7407,0,0,0
11,3.0172,0,0,0
12,3.2937,0,0,0
13,3.5702,0,0,0
14,3.8467,0,0,0
15,4.1232,0,0,0
16,4.3997,0,0,0
17,4.6762,0,0,0
18,4.9527,0,0,0
19,5.2292,0,0,0
20,5.5057,0,0,0
21,5.7822,0,0,0
22,6.0587,0,0,0
23,6.3352,0,0,0
24,6.6117,0,0,0
25,6.8882,0,0,0
26,7.1647,0,0,0
27,7.4412,0,0,0
28,7.7177,0,0,0
29,7.9942,0,0,0
30,8.2707,0,0,0
31,8.5472,0,0,0
32,8.8237,0,0,0
33,9.1002,0,0,0
34,9.3767,0,0,0
35,9.6532,6,0.01,0.004082483
36,9.9297,182,0.301111111,0.022491425
37,10.2062,309,0.46875,0.02940675
38,10.4827,262,0.382777778,0.027115721
39,10.7592,257,0.385972222,0.026828574
40,11.0357,239,0.35375,0.025885923
41,11.3122,274,0.413888889,0.027695712
42,11.5887,279,0.421666667,0.027946709
43,11.8652,251,0.375972222,0.026516141
44,12.1417,257,0.385833333,0.026828933
45,12.4182,252,0.380416667,0.026561206
46,12.6947,262,0.394027778,0.027086894
47,12.9712,267,0.40875,0.027325837
48,13.2477,263,0.397083333,0.027134567
49,13.5242,237,0.355555556,0.025764544
50,13.8007,241,0.36,0.025985217
51,14.0772,247,0.37125,0.026300657
52,14.3537,235,0.350277778,0.025661766
53,14.6302,256,0.388055556,0.026767028
54,14.9067,223,0.331805556,0.024999614
55,15.1832,221,0.32375,0.024901426
56,15.4597,238,0.356527778,0.025820263
57,15.7362,218,0.324027778,0.024718711
58,16.0127,233,0.345416667,0.025557443
59,16.2892,244,0.364444444,0.026146548
60,16.5657,236,0.346805556,0.025729706
61,16.8422,225,0.331666667,0.025120082
62,17.1187,216,0.3125,0.024629195
63,17.3952,209,0.303888889,0.024222477
64,17.6717,232,0.341944444,0.025507957
65,17.9482,201,0.289583333,0.02376218
66,18.2247,229,0.330694444,0.025361202
67,18.5012,220,0.310416667,0.024878175
68,18.7777,219,0.309861111,0.024819176
69,19.0542,233,0.336944444,0.025580453
70,19.3307,231,0.336666667,0.0254633
71,19.6072,225,0.321666667,0.025147712
72,19.8837,207,0.296527778,0.024119126
73,20.1602,230,0.347222222,0.02537527
74,20.4367,224,0.334722222,0.025051644
75,20.7132,193,0.285416667,0.023262541
76,20.9897,217,0.32875,0.024644463
77,21.2662,181,0.265972222,0.022532983
78,21.5427,212,0.312777778,0.024382814
79,21.8192,225,0.337222222,0.025104719
80,22.0957,215,0.310833333,0.024572738
81,22.3722,194,0.277083333,0.023351927
82,22.6487,225,0.327222222,0.025132366
83,22.9252,207,0.298055556,0.024114727
84,23.2017,193,0.285416667,0.023262541
85,23.4782,193,0.293472222,0.023238481
86,23.7547,194,0.299583333,0.02328492
87,24.0312,204,0.320555556,0.023861418
88,24.3077,178,0.274027778,0.022306697
89,24.5842,160,0.242916667,0.02115994
90,24.8607,173,0.271111111,0.021976067
91,25.1372,192,0.300694444,0.02315199
92,25.4137,170,0.263333333,0.021794495
93,25.6902,160,0.245,0.021153102
94,25.9667,168,0.263194444,0.021656426
95,26.2432,188,0.2925,0.022915404
96,26.5197,173,0.266527778,0.021990546
97,26.7962,188,0.295694444,0.022905721
98,27.0727,170,0.264166667,0.021791839
99,27.3492,197,0.31,0.023447143
100,27.6257,196,0.305555556,0.02339608
101,27.9022,191,0.299305556,0.023091087
102,28.1787,177,0.273888889,0.022239577
103,28.4552,187,0.293611111,0.022846272
104,28.7317,168,0.259722222,0.021667557
105,29.0082,168,0.259027778,0.021669783
106,29.2847,173,0.269722222,0.021980456
107,29.5612,162,0.250972222,0.021275402
108,29.8377,204,0.323611111,0.023852524
109,30.1142,156,0.243333333,0.020872186
110,30.3907,173,0.271388889,0.021975189
111,30.6672,144,0.223055556,0.020058749
112,30.9437,166,0.257222222,0.021536289
113,31.2202,178,0.277638889,0.022295452
114,31.4967,159,0.248194444,0.021071326
115,31.7732,181,0.284027778,0.022477269
116,32.0497,164,0.255694444,0.021401061
117,32.3262,160,0.250277778,0.021135768
118,32.6027,169,0.261666667,0.021730675
119,32.8792,154,0.238611111,0.020743324
120,33.1557,169,0.262777778,0.021727124
121,33.4322,169,0.267222222,0.021712914
122,33.7087,177,0.279722222,0.022221354
123,33.9852,184,0.290416667,0.022657627
124,34.2617,156,0.241805556,0.020877268
125,34.5382,162,0.253194444,0.021268148
126,34.8147,169,0.263194444,0.021725792
127,35.0912,157,0.2425,0.020946913
128,35.3677,147,0.2275,0.020267311
129,35.6442,176,0.276111111,0.022164857
130,35.9207,163,0.251527778,0.021344199
131,36.1972,184,0.290277778,0.022658053
132,36.4737,195,0.306527778,0.023328786
133,36.7502,174,0.2725,0.022040052
134,37.0267,170,0.268333333,0.021778557
135,37.3032,168,0.263194444,0.021656426
136,37.5797,169,0.267361111,0.021712469
137,37.8562,146,0.227916667,0.020191502
138,38.1327,163,0.254722222,0.021333804
139,38.4092,155,0.241805556,0.020805073
140,38.6857,184,0.288888889,0.022662309
141,38.9622,161,0.252361111,0.021200014
142,39.2387,171,0.267361111,0.021850626
143,39.5152,173,0.274861111,0.021964214
144,39.7917,172,0.271666667,0.021905732
145,40.0682,160,0.247638889,0.021144436
146,40.3447,154,0.241111111,0.020734953
147,40.6212,159,0.250833333,0.021062627
148,40.8977,146,0.229166667,0.020187203
149,41.1742,143,0.223472222,0.019982149
150,41.4507,186,0.296805556,0.022770578
151,41.7272,155,0.241111111,0.020807391
152,42.0037,163,0.257777778,0.021323855
153,42.2802,173,0.273611111,0.021968166
154,42.5567,151,0.2375,0.020528323
155,42.8332,145,0.229444444,0.020111572
156,43.1097,162,0.255138889,0.021261798
157,43.3862,153,0.237777778,0.020673461
158,43.6627,159,0.248333333,0.021070868
159,43.9392,167,0.264027778,0.021584156
160,44.2157,131,0.202083333,0.019134938
161,44.4922,162,0.255416667,0.02126089
162,44.7687,155,0.244861111,0.020794872
163,45.0452,155,0.244166667,0.020797191
164,45.3217,149,0.232916667,0.020396816
165,45.5982,143,0.222361111,0.01998601
166,45.8747,163,0.256944444,0.021326569
167,46.1512,141,0.217777778,0.01985091
168,46.4277,154,0.243888889,0.020725648
169,46.7042,142,0.22125,0.019914458
170,46.9807,151,0.235416667,0.020535369
171,47.2572,158,0.249861111,0.020994286
172,47.5337,177,0.277222222,0.022229166
173,47.8102,155,0.242916667,0.020801364
174,48.0867,150,0.236944444,0.020456782
175,48.3632,162,0.255416667,0.02126089
176,48.6397,130,0.203194444,0.019052093
177,48.9162,155,0.242222222,0.020803683
178,49.1927,169,0.268611111,0.021708471
179,49.4692,150,0.233472222,0.020468566
180,49.7457,158,0.247083333,0.021003472
181,50.0222,147,0.231944444,0.020252077
182,50.2987,140,0.215416667,0.019783258
183,50.5752,148,0.233611111,0.020320541
184,50.8517,151,0.237083333,0.020529732
185,51.1282,156,0.244722222,0.020867564
186,51.4047,159,0.251527778,0.021060337
187,51.6812,145,0.229027778,0.02011301
