Channel,Energy (keV),CTS,Net CR,
1,0.2522,0,0,0
2,0.5287,0,0,0
3,0.8052,0,0,0
4,1.0817,0,0,0
5,1.3582,0,0,0
6,1.6347,0,0,0
7,1.9112,0,0,0
8,2.1877,0,0,0
9,2.4642,0,0,0
10,2.7407,0,0,0
11,3.0172,0,0,0
12,3.2937,0,0,0
13,3.5702,0,0,0
14,3.8467,0,0,0
15,4.1232,0,0,0
16,4.3997,0,0,0
17,4.6762,0,0,0
18,4.9527,0,0,0
19,5.2292,0,0,0
20,5.5057,0,0,0
21,5.7822,0,0,0
22,6.0587,0,0,0
23,6.3352,0,0,0
24,6.6117,0,0,0
25,6.8882,0,0,0
26,7.1647,0,0,0
27,7.4412,0,0,0
28,7.7177,0,0,0
29,7.9942,0,0,0
30,8.2707,0,0,0
31,8.5472,0,0,0
32,8.8237,0,0,0
33,9.1002,0,0,0
34,9.3767,0,0,0
35,9.6532,0,0,0
36,9.9297,3,0.005,0.002886759
37,10.2062,33,0.055,0.009574318
38,10.4827,46,0.076666667,0.011303929
39,10.7592,34,0.056666667,0.009718295
40,11.0357,29,0.048333333,0.008975323
41,11.3122,26,0.043333333,0.008498414
42,11.5887,29,0.048333333,0.008975321
43,11.8652,38,0.063333333,0.010274063
44,12.1417,32,0.053333333,0.009428134
45,12.4182,26,0.043333333,0.008498411
46,12.6947,29,0.048333333,0.00897532
47,12.9712,47,0.078333333,0.011426122
48,13.2477,26,0.043333333,0.008498413
49,13.5242,33,0.055,0.009574311
50,13.8007,25,0.041666667,0.008333382
51,14.0772,27,0.045,0.008660299
52,14.3537,29,0.048333333,0.008975319
53,14.6302,23,0.038333333,0.007993099
54,14.9067,24,0.04,0.008165013
55,15.1832,26,0.043333333,0.008498416
56,15.4597,34,0.056666667,0.009718293
57,15.7362,25,0.041666667,0.008333379
58,16.0127,39,0.065,0.01040837
59,16.2892,45,0.075,0.011180376
60,16.5657,39,0.065,0.010408373
61,16.8422,38,0.063333333,0.010274064
62,17.1187,21,0.035,0.007637686
63,17.3952,35,0.058333333,0.009860176
64,17.6717,24,0.04,0.008165019
65,17.9482,35,0.058333333,0.009860177
66,18.2247,44,0.073333333,0.01105546
67,18.5012,37,0.061666667,0.010137991
68,18.7777,29,0.048333333,0.008975334
69,19.0542,36,0.06,0.01000005
70,19.3307,23,0.038333333,0.007993111
71,19.6072,37,0.061666667,0.010137988
72,19.8837,32,0.053333333,0.00942814
73,20.1602,23,0.038333333,0.007993096
74,20.4367,20,0.033333333,0.00745361
75,20.7132,24,0.04,0.008165009
76,20.9897,21,0.035,0.007637668
77,21.2662,28,0.046666667,0.00881921
78,21.5427,28,0.046666667,0.008819215
79,21.8192,17,0.028333333,0.006871896
80,22.0957,39,0.065,0.010408374
81,22.3722,35,0.058333333,0.009860178
82,22.6487,32,0.053333333,0.009428139
83,22.9252,28,0.046666667,0.008819222
84,23.2017,26,0.043333333,0.008498407
85,23.4782,22,0.036666667,0.007817394
86,23.7547,15,0.025,0.006455008
87,24.0312,16,0.026666667,0.006666695
88,24.3077,20,0.033333333,0.007453589
89,24.5842,21,0.035,0.007637656
90,24.8607,15,0.025,0.006454998
91,25.1372,25,0.041666667,0.008333356
92,25.4137,16,0.026666667,0.006666696
93,25.6902,18,0.03,0.007071097
94,25.9667,17,0.028333333,0.006871866
95,26.2432,11,0.018333333,0.005527744
96,26.5197,5,0.008333333,0.003726836
97,26.7962,12,0.02,0.005773532
98,27.0727,10,0.016666667,0.005270498
99,27.3492,12,0.02,0.005773533
100,27.6257,17,0.028333333,0.006871872
101,27.9022,7,0.011666667,0.004409627
102,28.1787,6,0.01,0.004082533
103,28.4552,13,0.021666667,0.006009281
104,28.7317,9,0.015,0.005000039
105,29.0082,9,0.015,0.00500004
106,29.2847,17,0.028333333,0.006871869
107,29.5612,17,0.028333333,0.006871869
108,29.8377,13,0.021666667,0.006009278
109,30.1142,8,0.013333333,0.004714079
110,30.3907,13,0.021666667,0.006009279
111,30.6672,19,0.031666667,0.007264854
112,30.9437,15,0.025,0.006455001
113,31.2202,14,0.023333333,0.006236125
114,31.4967,20,0.033333333,0.007453582
115,31.7732,12,0.02,0.005773532
116,32.0497,20,0.033333333,0.007453583
117,32.3262,13,0.021666667,0.006009278
118,32.6027,14,0.023333333,0.006236127
119,32.8792,13,0.021666667,0.006009281
120,33.1557,23,0.038333333,0.007993075
121,33.4322,6,0.01,0.004082517
122,33.7087,11,0.018333333,0.005527735
123,33.9852,10,0.016666667,0.005270493
124,34.2617,15,0.025,0.006454999
125,34.5382,12,0.02,0.005773531
126,34.8147,11,0.018333333,0.00552774
127,35.0912,12,0.02,0.005773535
128,35.3677,14,0.023333333,0.006236123
129,35.6442,12,0.02,0.005773531
130,35.9207,14,0.023333333,0.006236127
131,36.1972,9,0.015,0.005000032
132,36.4737,9,0.015,0.005000036
133,36.7502,16,0.026666667,0.006666692
134,37.0267,10,0.016666667,0.00527049
135,37.3032,12,0.02,0.005773531
136,37.5797,14,0.023333333,0.006236118
137,37.8562,11,0.018333333,0.005527735
138,38.1327,11,0.018333333,0.005527738
139,38.4092,14,0.023333333,0.006236121
140,38.6857,3,0.005,0.002886811
141,38.9622,14,0.023333333,0.00623612
142,39.2387,11,0.018333333,0.005527739
143,39.5152,7,0.011666667,0.004409615
144,39.7917,11,0.018333333,0.005527734
145,40.0682,9,0.015,0.005000037
146,40.3447,8,0.013333333,0.004714077
147,40.6212,12,0.02,0.005773526
148,40.8977,13,0.021666667,0.006009275
149,41.1742,10,0.016666667,0.00527049
150,41.4507,11,0.018333333,0.005527731
151,41.7272,9,0.015,0.005000033
152,42.0037,12,0.02,0.005773526
153,42.2802,9,0.015,0.005000028
154,42.5567,16,0.026666667,0.006666687
155,42.8332,11,0.018333333,0.005527729
156,43.1097,17,0.028333333,0.006871864
157,43.3862,10,0.016666667,0.005270494
158,43.6627,15,0.025,0.006454997
159,43.9392,11,0.018333333,0.005527733
160,44.2157,10,0.016666667,0.005270493
161,44.4922,6,0.01,0.004082517
162,44.7687,18,0.03,0.007071086
163,45.0452,9,0.015,0.005000027
164,45.3217,8,0.013333333,0.004714077
165,45.5982,8,0.013333333,0.004714078
166,45.8747,8,0.013333333,0.004714075
167,46.1512,13,0.021666667,0.00600928
168,46.4277,10,0.016666667,0.005270486
169,46.7042,10,0.016666667,0.005270491
170,46.9807,14,0.023333333,0.006236121
171,47.2572,7,0.011666667,0.004409615
172,47.5337,8,0.013333333,0.004714082
173,47.8102,11,0.018333333,0.005527735
174,48.0867,11,0.018333333,0.005527731
175,48.3632,13,0.021666667,0.006009276
176,48.6397,12,0.02,0.005773525
177,48.9162,6,0.01,0.004082521
178,49.1927,14,0.023333333,0.006236116
179,49.4692,23,0.038333333,0.007993072
180,49.7457,20,0.033333333,0.007453581
181,50.0222,20,0.033333333,0.007453577
182,50.2987,28,0.046666667,0.008819191
183,50.5752,34,0.056666667,0.009718266
184,50.8517,32,0.053333333,0.009428105
185,51.1282,19,0.031666667,0.007264852
186,51.4047,45,0.075,0.011180352
187,51.6812,19,0.031666667,0.007264848
188,51.9577,20,0.033333333,0.00745358
189,52.2342,13,0.021666667,0.006009277
190,52.5107,9,0.015,0.005000026
191,52.7872,12,0.02,0.005773526
