Channel,Energy (keV),CTS,Net CR,Error
1,0.2522,0,0,0
2,0.5287,0,0,0
3,0.8052,0,0,0
4,1.0817,0,0,0
5,1.3582,0,0,0
6,1.6347,0,0,0
7,1.9112,0,0,0
8,2.1877,0,0,0
9,2.4642,0,0,0
10,2.7407,0,0,0
11,3.0172,0,0,0
12,3.2937,0,0,0
13,3.5702,0,0,0
14,3.8467,0,0,0
15,4.1232,0,0,0
16,4.3997,0,0,0
17,4.6762,0,0,0
18,4.9527,0,0,0
19,5.2292,0,0,0
20,5.5057,0,0,0
21,5.7822,0,0,0
22,6.0587,0,0,0
23,6.3352,0,0,0
24,6.6117,0,0,0
25,6.8882,0,0,0
26,7.1647,0,0,0
27,7.4412,0,0,0
28,7.7177,0,0,0
29,7.9942,0,0,0
30,8.2707,0,0,0
31,8.5472,0,0,0
32,8.8237,0,0,0
33,9.1002,0,0,0
34,9.3767,0,0,0
35,9.6532,0,0,0
36,9.9297,4,0.004444444,0.00333334
37,10.2062,23,-0.007916667,0.007993108
38,10.4827,18,-0.023888889,0.007071141
39,10.7592,18,-0.012361111,0.007071126
40,11.0357,30,0.005416667,0.009128756
41,11.3122,23,-0.004444444,0.007993104
42,11.5887,25,-0.001666667,0.008333383
43,11.8652,24,-0.002361111,0.008165016
44,12.1417,28,0.004166667,0.008819218
45,12.4182,15,-0.014583333,0.006455031
46,12.6947,30,0.007361111,0.009128754
47,12.9712,19,-0.004583333,0.00726488
48,13.2477,23,-0.002916667,0.007993102
49,13.5242,29,0.008888889,0.008975317
50,13.8007,23,-0.003333333,0.007993103
51,14.0772,30,0.009583333,0.009128752
52,14.3537,35,0.016944444,0.009860173
53,14.6302,22,-0.001944444,0.007817407
54,14.9067,20,-0.006527778,0.007453612
55,15.1832,22,-0.007916667,0.007817415
56,15.4597,27,0.004861111,0.008660299
57,15.7362,23,-0.000972222,0.0079931
58,16.0127,29,0.005416667,0.008975321
59,16.2892,34,0.014444444,0.009718295
60,16.5657,27,-0.001527778,0.008660306
61,16.8422,27,0.001666667,0.008660302
62,17.1187,19,-0.015833333,0.007264895
63,17.3952,26,-0.001111111,0.008498416
64,17.6717,23,-0.006388889,0.007993107
65,17.9482,25,-0.00375,0.008333386
66,18.2247,38,0.012361111,0.010274071
67,18.5012,40,0.010416667,0.010540977
68,18.7777,43,0.016527778,0.010929113
69,19.0542,31,0.000277778,0.009279661
70,19.3307,34,0.008333333,0.009718301
71,19.6072,35,0.005,0.009860185
72,19.8837,35,0.009861111,0.00986018
73,20.1602,25,0.005555556,0.008333375
74,20.4367,15,-0.013611111,0.00645503
75,20.7132,18,-0.00625,0.007071117
76,20.9897,22,0.00375,0.0078174
77,21.2662,29,0.012638889,0.008975313
78,21.5427,18,-0.010555556,0.007071123
79,21.8192,26,0.005555556,0.008498409
80,22.0957,35,0.010833333,0.009860179
81,22.3722,45,0.02875,0.01118038
82,22.6487,28,-0.001111111,0.008819223
83,22.9252,25,-0.005277778,0.008333388
84,23.2017,12,-0.01625,0.005773563
85,23.4782,16,-0.001527778,0.006666707
86,23.7547,24,0.01625,0.008164994
87,24.0312,8,-0.006111111,0.004714085
88,24.3077,15,0.002361111,0.006455006
89,24.5842,8,-0.010416667,0.004714094
90,24.8607,12,0.002777778,0.005773531
91,25.1372,14,0.004027778,0.006236126
92,25.4137,6,-0.01,0.00408253
93,25.6902,6,-0.011666667,0.004082534
94,25.9667,16,0.009861111,0.006666691
95,26.2432,16,0.005833333,0.006666697
96,26.5197,10,-0.005138889,0.005270503
97,26.7962,15,0.007361111,0.006454999
98,27.0727,11,-0.000833333,0.005527741
99,27.3492,18,0.011666667,0.007071093
100,27.6257,6,-0.011111111,0.004082533
101,27.9022,13,0.002638889,0.006009283
102,28.1787,12,-0.001111111,0.005773538
103,28.4552,7,-0.006388889,0.004409625
104,28.7317,18,0.009722222,0.007071095
105,29.0082,9,-0.005972222,0.00500004
106,29.2847,7,-0.006944444,0.004409626
107,29.5612,9,-0.004027778,0.005000037
108,29.8377,9,-0.001388889,0.005000032
109,30.1142,11,0.001666667,0.005527737
110,30.3907,11,0.001388889,0.005527738
111,30.6672,10,-0.000277778,0.005270494
112,30.9437,10,-0.002777778,0.005270498
113,31.2202,6,-0.009027778,0.004082528
114,31.4967,13,0.004861111,0.006009279
115,31.7732,10,-0.000972222,0.005270495
116,32.0497,11,0.000694444,0.005527739
117,32.3262,10,0.000277778,0.005270493
118,32.6027,6,-0.01,0.00408253
119,32.8792,9,-0.003055556,0.005000035
120,33.1557,11,-0.000555556,0.005527741
121,33.4322,22,0.022222222,0.007817377
122,33.7087,12,0.004722222,0.005773528
123,33.9852,7,-0.004583333,0.004409621
124,34.2617,9,-0.003194444,0.005000035
125,34.5382,6,-0.006805556,0.004082523
126,34.8147,11,-0.000138889,0.00552774
127,35.0912,18,0.010833333,0.007071094
128,35.3677,11,0.000833333,0.005527739
129,35.6442,13,0.004444444,0.00600928
130,35.9207,12,-0.000138889,0.005773536
131,36.1972,11,0.001944444,0.005527737
132,36.4737,8,-0.005138889,0.004714083
133,36.7502,10,-0.000833333,0.005270495
134,37.0267,12,0.005,0.005773528
135,37.3032,9,-0.001805556,0.005000032
136,37.5797,14,0.009027778,0.006236118
137,37.8562,7,-0.00375,0.004409619
138,38.1327,11,0.001388889,0.005527738
139,38.4092,12,0.003472222,0.00577353
140,38.6857,9,-0.002777778,0.005000034
141,38.9622,7,-0.004305556,0.00440962
142,39.2387,11,0.000694444,0.005527739
143,39.5152,14,0.009861111,0.006236116
144,39.7917,10,0.001666667,0.00527049
145,40.0682,10,-0.002361111,0.005270498
146,40.3447,12,0.004444444,0.005773529
147,40.6212,11,0.004166667,0.005527733
148,40.8977,11,0.004166667,0.005527733
149,41.1742,8,-0.001527778,0.004714076
150,41.4507,15,0.011805556,0.006454992
151,41.7272,10,-0.000555556,0.005270494
152,42.0037,12,0.006111111,0.005773526
153,42.2802,11,0.003611111,0.005527734
154,42.5567,3,-0.009166667,0.002886799
155,42.8332,9,0.002777778,0.005000024
156,43.1097,11,0.003472222,0.005527734
157,43.3862,7,-0.005555556,0.004409623
158,43.6627,8,-0.003333333,0.004714079
159,43.9392,5,-0.005972222,0.003726817
160,44.2157,9,-0.00125,0.005000031
161,44.4922,9,0.000416667,0.005000028
162,44.7687,10,0.003194444,0.005270487
163,45.0452,16,0.0125,0.006666687
164,45.3217,10,0.00125,0.005270491
165,45.5982,9,-0.000972222,0.005000031
166,45.8747,10,0.001944444,0.00527049
167,46.1512,6,-0.007222222,0.004082524
168,46.4277,9,0.002222222,0.005000025
169,46.7042,8,-0.002083333,0.004714077
170,46.9807,3,-0.01125,0.002886806
171,47.2572,8,-0.000138889,0.004714073
172,47.5337,11,0.000555556,0.005527739
173,47.8102,10,0.00125,0.005270491
174,48.0867,8,0.000277778,0.004714072
175,48.3632,10,0.002083333,0.005270489
176,48.6397,6,-0.003472222,0.004082515
177,48.9162,9,-0.001111111,0.005000031
178,49.1927,10,0.003611111,0.005270487
179,49.4692,10,0.000138889,0.005270493
180,49.7457,9,-0.00125,0.005000031
181,50.0222,10,0.003611111,0.005270487
182,50.2987,16,0.00875,0.006666693
183,50.5752,12,0.006944444,0.005773525
